SaleID,Date,CustomerID,ProductID,Quantity,UnitPrice,Discount,PaymentMethod,Channel,City,CustomerType,TotalAmount,Uniqueness,BookCategory,BookAgeYears,Condition,Language
S0001,2025-08-03,C0027,P017,2,825000,0,Card,Online,Rasht,New Customer,1650000,4,Religious-Mystical,66,Acceptable,Persian-Arabic
S0002,2025-08-05,C0013,P003,1,1000000,0,Online,Online,Nowshahr,New Customer,1000000,5,Philosophy,27,Excellent,Old Persian
S0003,2025-08-05,C0104,P031,1,1336000,0,Card,Online,Nowshahr,New Customer,1336000,6,Classical Literature,33,Excellent,Persian
S0004,2025-08-06,C0158,P026,1,1375000,206250,Online,Online,Nowshahr,New Customer,1168750,6,History,38,Excellent,Persian-Arabic
S0005,2025-08-06,C0083,P017,1,801000,200250,Card,In-Person,Rasht,New Customer,600750,4,Religious-Mystical,66,Acceptable,Persian-Arabic
S0006,2025-08-06,C0009,P015,1,830000,0,Card,In-Person,Nowshahr,New Customer,830000,4,Classical Literature,57,Good,Persian-Arabic
S0007,2025-08-07,C0032,P013,1,2935000,0,Card,In-Person,Nowshahr,New Customer,2935000,9,Manuscript,53,Acceptable,Old Persian
S0008,2025-08-09,C0181,P020,2,692000,0,Cash,In-Person,Rasht,New Customer,1384000,3,Classical Poetry,111,Acceptable,Persian
S0009,2025-08-09,C0136,P040,1,1100000,0,Online,Online,Rasht,New Customer,1100000,5,Classical Poetry,40,Excellent,Persian
S0010,2025-08-10,C0092,P010,2,233000,0,Online,Online,Rasht,New Customer,466000,1,History,18,Good,Persian-Arabic
S0011,2025-08-10,C0164,P011,1,532000,0,Online,Online,Nowshahr,New Customer,532000,3,Manuscript,28,Excellent,Persian-Arabic
S0012,2025-08-12,C0076,P003,1,1044000,208800,Online,Online,Rasht,New Customer,835200,5,Philosophy,27,Excellent,Old Persian
S0013,2025-08-13,C0139,P025,2,1804000,0,Cash,In-Person,Rasht,New Customer,3608000,7,Philosophy,38,Excellent,Old Persian
S0014,2025-08-13,C0040,P033,1,702000,175500,Card,In-Person,Rasht,New Customer,526500,4,History,20,Good,Persian-Arabic
S0015,2025-08-14,C0041,P004,1,1221000,0,Online,Online,Nowshahr,New Customer,1221000,5,Religious-Mystical,105,Excellent,Persian-Arabic
S0016,2025-08-14,C0059,P021,1,1909000,0,Cash,In-Person,Rasht,New Customer,1909000,7,Classical Literature,49,Excellent,Old Persian
S0017,2025-08-15,C0054,P019,1,1009000,0,Online,Online,Nowshahr,New Customer,1009000,5,Classical Poetry,26,Good,Persian-Arabic
S0018,2025-08-17,C0156,P035,1,2536000,0,Cash,In-Person,Rasht,New Customer,2536000,8,History,99,Excellent,Old Persian
S0019,2025-08-18,C0174,P029,1,740000,0,Cash,In-Person,Nowshahr,New Customer,740000,4,Manuscript,33,Acceptable,Persian
S0020,2025-08-18,C0117,P025,1,1810000,362000,Cash,In-Person,Rasht,New Customer,1448000,7,Philosophy,38,Excellent,Old Persian
S0021,2025-08-19,C0087,P004,2,1250000,0,Card,In-Person,Rasht,New Customer,2500000,5,Religious-Mystical,105,Excellent,Persian-Arabic
S0022,2025-08-20,C0021,P007,1,797000,0,Card,In-Person,Nowshahr,New Customer,797000,4,Religious-Mystical,28,Excellent,Old Persian
S0023,2025-08-22,C0188,P019,1,1000000,50000,Cash,In-Person,Rasht,New Customer,950000,5,Classical Poetry,26,Good,Persian-Arabic
S0024,2025-08-23,C0137,P023,1,792000,0,Card,Online,Nowshahr,New Customer,792000,3,History,154,Good,Old Persian
S0025,2025-08-23,C0179,P031,1,1467000,0,Card,In-Person,Rasht,New Customer,1467000,6,Classical Literature,33,Excellent,Persian
S0026,2025-08-25,C0033,P028,1,1089000,130680,Online,Online,Nowshahr,New Customer,958320,5,Philosophy,37,Good,Old Persian
S0027,2025-08-26,C0001,P036,1,2265000,0,Card,Online,Rasht,New Customer,2265000,8,Religious-Mystical,43,Excellent,Old Persian
S0028,2025-08-27,C0124,P021,1,1797000,0,Card,Online,Nowshahr,New Customer,1797000,7,Classical Literature,49,Excellent,Old Persian
S0029,2025-08-27,C0147,P042,3,2516000,1509600,Online,Online,Nowshahr,New Customer,6038400,8,Classical Literature,65,Good,Persian-Arabic
S0030,2025-08-29,C0132,P002,1,1135000,283750,Card,In-Person,Rasht,New Customer,851250,5,Manuscript,61,Excellent,Persian
S0031,2025-08-30,C0029,P039,1,733000,0,Card,In-Person,Rasht,New Customer,733000,4,Religious-Mystical,34,Good,Persian
S0032,2025-08-31,C0034,P024,1,1595000,0,Card,In-Person,Rasht,New Customer,1595000,6,Philosophy,89,Good,Old Persian
S0033,2025-08-31,C0143,P002,2,1134000,0,Card,In-Person,Rasht,New Customer,2268000,5,Manuscript,61,Excellent,Persian
S0034,2025-08-31,C0153,P013,1,3068000,0,Online,Online,Rasht,New Customer,3068000,9,Manuscript,53,Acceptable,Old Persian
S0035,2025-09-03,C0046,P041,1,2111000,0,Card,In-Person,Rasht,New Customer,2111000,7,Philosophy,122,Good,Persian
S0036,2025-09-04,C0029,P020,2,709000,354500,Cash,In-Person,Rasht,Returning Customer,1063500,3,Classical Poetry,111,Acceptable,Persian
S0037,2025-09-05,C0132,P036,2,2285000,457000,Cash,In-Person,Rasht,Returning Customer,4113000,8,Religious-Mystical,43,Excellent,Old Persian
S0038,2025-09-05,C0151,P035,1,2297000,0,Cash,In-Person,Rasht,New Customer,2297000,8,History,99,Excellent,Old Persian
S0039,2025-09-06,C0153,P025,1,1780000,267000,Cash,In-Person,Rasht,Returning Customer,1513000,7,Philosophy,38,Excellent,Old Persian
S0040,2025-09-07,C0094,P006,2,1980000,990000,Card,In-Person,Rasht,New Customer,2970000,7,History,175,Good,Persian
S0041,2025-09-07,C0059,P029,1,747000,0,Card,Online,Rasht,Returning Customer,747000,4,Manuscript,33,Acceptable,Persian
S0042,2025-09-07,C0151,P031,2,1333000,0,Card,Online,Rasht,Returning Customer,2666000,6,Classical Literature,33,Excellent,Persian
S0043,2025-09-08,C0104,P014,1,1097000,0,Online,Online,Nowshahr,Returning Customer,1097000,5,Manuscript,53,Acceptable,Old Persian
S0044,2025-09-13,C0034,P033,1,722000,0,Card,In-Person,Rasht,Returning Customer,722000,4,History,20,Good,Persian-Arabic
S0045,2025-09-13,C0106,P027,1,1128000,0,Card,Online,Nowshahr,New Customer,1128000,5,Manuscript,44,Acceptable,Old Persian
S0046,2025-09-14,C0018,P026,1,1372000,0,Card,Online,Nowshahr,New Customer,1372000,6,History,38,Excellent,Persian-Arabic
S0047,2025-09-15,C0055,P002,2,1159000,0,Online,Online,Nowshahr,New Customer,2318000,5,Manuscript,61,Excellent,Persian
S0048,2025-09-16,C0021,P001,2,2026000,0,Online,Online,Nowshahr,Returning Customer,4052000,7,Philosophy,87,Excellent,Old Persian
S0049,2025-09-17,C0135,P022,1,586000,58600,Card,In-Person,Rasht,New Customer,527400,3,Manuscript,44,Excellent,Persian-Arabic
S0050,2025-09-17,C0118,P034,1,2086000,0,Card,Online,Nowshahr,New Customer,2086000,7,Philosophy,102,Good,Persian-Arabic
S0051,2025-09-17,C0135,P015,1,835000,167000,Online,Online,Rasht,Returning Customer,668000,4,Classical Literature,57,Good,Persian-Arabic
S0052,2025-09-18,C0031,P017,1,821000,0,Card,In-Person,Nowshahr,New Customer,821000,4,Religious-Mystical,66,Acceptable,Persian-Arabic
S0053,2025-09-18,C0110,P027,1,1126000,0,Online,Online,Rasht,New Customer,1126000,5,Manuscript,44,Acceptable,Old Persian
S0054,2025-09-19,C0130,P042,2,2462000,492400,Card,In-Person,Rasht,New Customer,4431600,8,Classical Literature,65,Good,Persian-Arabic
S0055,2025-09-19,C0083,P018,1,1071000,214200,Card,In-Person,Rasht,Returning Customer,856800,5,Religious-Mystical,48,Excellent,Persian
S0056,2025-09-19,C0165,P031,1,1365000,0,Card,Online,Nowshahr,New Customer,1365000,6,Classical Literature,33,Excellent,Persian
S0057,2025-09-19,C0170,P005,1,2842000,0,Card,In-Person,Rasht,New Customer,2842000,9,Classical Poetry,45,Excellent,Persian
S0058,2025-09-19,C0095,P013,1,2834000,0,Online,Online,Rasht,New Customer,2834000,9,Manuscript,53,Acceptable,Old Persian
