SaleID,Date,CustomerID,ProductID,Quantity,UnitPrice,Discount,PaymentMethod,Channel,City,CustomerType,TotalAmount,Uniqueness,BookCategory,BookAgeYears,Condition,Language
S0001,2025-08-03,C0027,P017,2,825000,0,Card,Online,Rasht,"New Customer",1650000,4,Religious-Mystical,66,Acceptable,Persian-Arabic
S0008,2025-08-09,C0181,P020,2,692000,0,Cash,In-Person,Rasht,"New Customer",1384000,3,"Classical Poetry",111,Acceptable,Persian
S0009,2025-08-09,C0136,P040,1,1100000,0,Online,Online,Rasht,"New Customer",1100000,5,"Classical Poetry",40,Excellent,Persian
S0013,2025-08-13,C0139,P025,2,1804000,0,Cash,In-Person,Rasht,"New Customer",3608000,7,Philosophy,38,Excellent,"Old Persian"
S0016,2025-08-14,C0059,P021,1,1909000,0,Cash,In-Person,Rasht,"New Customer",1909000,7,"Classical Literature",49,Excellent,"Old Persian"
S0018,2025-08-17,C0156,P035,1,2536000,0,Cash,In-Person,Rasht,"New Customer",2536000,8,History,99,Excellent,"Old Persian"
S0020,2025-08-18,C0117,P025,1,1810000,362000,Cash,In-Person,Rasht,"New Customer",1448000,7,Philosophy,38,Excellent,"Old Persian"
S0021,2025-08-19,C0087,P004,2,1250000,0,Card,In-Person,Rasht,"New Customer",2500000,5,Religious-Mystical,105,Excellent,Persian-Arabic
S0025,2025-08-23,C0179,P031,1,1467000,0,Card,In-Person,Rasht,"New Customer",1467000,6,"Classical Literature",33,Excellent,Persian
S0027,2025-08-26,C0001,P036,1,2265000,0,Card,Online,Rasht,"New Customer",2265000,8,Religious-Mystical,43,Excellent,"Old Persian"
S0032,2025-08-31,C0034,P024,1,1595000,0,Card,In-Person,Rasht,"New Customer",1595000,6,Philosophy,89,Good,"Old Persian"
S0033,2025-08-31,C0143,P002,2,1134000,0,Card,In-Person,Rasht,"New Customer",2268000,5,Manuscript,61,Excellent,Persian
S0034,2025-08-31,C0153,P013,1,3068000,0,Online,Online,Rasht,"New Customer",3068000,9,Manuscript,53,Acceptable,"Old Persian"
S0035,2025-09-03,C0046,P041,1,2111000,0,Card,In-Person,Rasht,"New Customer",2111000,7,Philosophy,122,Good,Persian
S0036,2025-09-04,C0029,P020,2,709000,354500,Cash,In-Person,Rasht,"Returning Customer",1063500,3,"Classical Poetry",111,Acceptable,Persian
