sale_year,sale_month,order_count,total_items,total_sales
2021,12,2,3,72370000
2022,6,1,1,33471000
2022,12,1,1,19650000
2023,3,1,1,56980000
2023,6,2,2,50274000
2023,7,1,1,21920000
2023,10,1,2,296740000
2023,11,1,2,223506000
2024,3,1,1,131870000
2024,7,3,3,410976000
2024,9,1,1,163480000
2024,10,1,1,49680000
2025,2,1,1,1717000
2025,5,2,2,63590000
2025,7,1,1,9656000
2025,8,2,6,424434000
2025,9,1,1,90930000
2025,11,2,2,365516000
2026,1,3,3,205217000
2026,2,1,1,28534000
2026,4,3,3,257618000
2026,5,4,4,204779000
2026,6,2,2,115450000
2026,7,2,2,25747000
2026,8,2,3,59565000
