id,title,number_of_sales,sold_qty,revenue
2,"Coastal Classical Masters Vol. 65",2,3,33300000
53,"Imperial Islamic Masters Vol. 70",1,1,27340000
50,"Ancient Ancient Symphony Vol. 99",1,4,24880000
52,"Eternal Islamic Echoes Vol. 68",1,1,22350000
9,"Ancient Classical Heritage Vol. 45",2,2,22260000
8,"Mystic Classical Chronicles Vol. 12",3,3,22110000
5,"Coastal Classical Treasures Vol. 76",3,3,17010000
76,"Ancient Local/Regional Masters Vol. 22",1,1,15640000
44,"Sacred Ancient Masters Vol. 20",1,1,14550000
38,"Ancient Illustrated Memoirs Vol. 69",1,1,13600000
