id,order_count,total_purchase
10,5,154775000
100,8,530886000
1000,1,89072000
1002,7,550187000
1003,1,54000000
1004,6,537670000
1005,5,565910000
1006,1,63648000
101,7,767114000
1010,5,318413000
1012,4,176070000
1013,3,291728000
1014,1,175330000
1018,3,290018000
102,6,1605016000
1020,1,657070000
1021,1,9188000
1022,1,25466000
1023,3,434814000
1024,1,3918000
1030,1,164450000
1031,1,39670000
1033,1,162171000
1035,7,590653000
1038,1,26892000
1039,3,636790000
104,8,648727000
1040,1,32400000
1041,1,8296000
1042,6,346071000
1045,3,361704000
1046,4,232615000
1047,2,303722000
1049,1,153790000
105,6,585936000
1050,3,211614000
1051,2,94530000
1053,7,528313000
1055,1,124920000
1056,1,97389000
1058,2,68589000
1059,10,861899000
106,1,186405000
1061,10,1931510000
1064,1,201530000
1065,1,11380000
1066,3,77863000
1067,8,875059000
107,3,264149000
1070,1,62458000
1073,2,184895000
1074,9,642940000
1075,4,266770000
1076,8,1373698000
1077,8,888793000
1078,1,105255000
1079,7,1108889000
108,7,696255000
1080,8,564220000
1081,6,363152000
1082,1,7070000
1083,7,713164000
1085,3,253626000
1086,9,915476000
1087,10,995726000
1088,1,22770000
109,1,35540000
1090,5,926410000
1091,2,140212000
1092,1,9809000
1093,1,80226000
1096,2,86422000
1097,12,1409615000
1098,1,13370000
1099,9,850680000
11,1,56980000
110,8,727267000
1100,1,17930000
1104,9,1030639000
1105,3,218555000
1106,3,161660000
1107,8,907055000
1108,1,149930000
1109,2,62470000
111,1,519660000
1111,2,195939000
1114,3,425500000
1116,2,372189000
1117,4,580775000
112,5,188166000
1120,1,27680000
1121,6,545714000
1122,6,311780000
1123,3,246240000
1124,6,607015000
1126,8,639377000
1127,1,188860000
1128,7,769265000
113,3,312066000
1130,1,107882000
1131,1,12840000
1133,3,565548000
1136,7,385052000
1137,1,135006000
1140,5,327173000
1144,1,149040000
1145,1,97083000
1147,6,727224000
1148,1,65930000
1149,1,194180000
1150,5,122560000
1152,6,772973000
1153,5,244509000
1154,7,999675000
1155,5,429468000
1156,6,748763000
1157,1,171380000
1158,5,448970000
116,2,167150000
1160,1,48456000
1161,9,1186295000
1163,1,67668000
1165,4,373353000
1166,3,171755000
1168,1,53595000
1170,1,49610000
1171,7,507411000
1173,1,117170000
1174,3,211610000
1176,1,146610000
1177,1,57150000
1178,2,63022000
118,7,560981000
1180,5,211178000
1181,1,19370000
1182,1,194680000
1184,5,97902000
1185,9,1208036000
1188,1,179560000
119,2,45950000
1190,1,67881000
1192,7,543838000
1193,1,13040000
1195,1,8712000
1197,9,999735000
1198,1,159345000
1199,1,195093000
120,4,329971000
1200,3,287410000
1202,8,713613000
1203,9,1707470000
1204,6,907888000
1205,2,34000000
1207,7,666766000
121,1,70200000
1210,1,185310000
1212,8,720019000
1214,1,73967000
1215,1,82332000
1216,1,43146000
1222,9,849464000
1223,8,371761000
1224,1,211280000
1226,2,267580000
1227,2,149867000
1228,1,169776000
1229,6,472254000
123,2,44232000
1231,1,317980000
1234,2,183470000
1235,12,1229569000
1239,6,434975000
124,1,9690000
1240,5,243251000
1241,1,21645000
1242,1,351190000
1243,2,368560000
1244,6,442073000
1245,10,472404000
1246,1,210996000
1247,1,37593000
1249,3,279120000
1250,1,72220000
1251,8,321127000
1253,1,14518000
1254,1,219560000
1255,5,292929000
1256,3,407965000
1259,1,5420000
126,3,114644000
1261,1,12033000
1263,1,184689000
1264,3,268309000
1266,4,907365000
1267,10,1816054000
1268,2,385720000
1269,2,149960000
127,9,975794000
1275,1,14310000
1276,2,81588000
1277,1,207675000
1280,1,45522000
1281,1,3438000
1282,8,609846000
1283,2,214880000
1284,1,62560000
1285,3,184221000
1288,1,84337000
1289,2,77735000
129,1,160821000
1290,1,18352000
1291,2,70280000
1292,1,63600000
1293,2,440870000
1299,2,92690000
13,10,1058131000
130,4,382371000
1303,6,797318000
1304,1,57264000
1306,3,251299000
1307,11,733890000
131,11,784337000
1310,1,31612000
1311,1,82416000
1312,1,77770000
1313,3,106090000
1314,9,630544000
1316,2,359280000
1317,6,303922000
1318,2,242780000
1319,1,333990000
132,2,101480000
1320,2,222069000
1321,1,7370000
1325,5,465735000
1327,2,315049000
1329,2,245220000
133,7,1460975000
1331,1,100850000
1332,5,524361000
1333,1,17930000
1334,1,30642000
1335,4,237644000
1339,2,27086000
134,1,15240000
1341,12,1802609000
1342,1,798480000
1345,3,683176000
1346,5,319320000
1347,1,78668000
1349,5,301892000
135,8,753287000
1351,3,1158944000
1355,2,132322000
136,10,910949000
1361,1,7660000
1362,1,388690000
1363,1,223209000
1364,9,1119681000
1365,2,436059000
1367,9,1677792000
1368,7,721422000
1369,4,595601000
1370,9,2037995000
1371,10,1082556000
1372,11,1161998000
1373,1,17928000
1374,4,143004000
1378,1,175108000
138,1,23790000
1380,10,1074186000
1381,10,592482000
1382,1,21496000
1383,4,202496000
1384,2,120288000
1389,1,163944000
1390,1,196138000
1391,1,15240000
1392,1,7070000
1393,1,28290000
1394,1,46960000
1398,2,142176000
1399,1,196038000
140,1,120140000
1400,10,591958000
1401,1,34026000
1402,5,364706000
1403,12,1226975000
1404,7,795963000
1405,9,898600000
1408,10,1093371000
1409,1,9188000
1411,3,109671000
1413,5,422759000
1414,1,353311000
1416,9,715426000
1418,4,202435000
1419,1,246020000
142,3,639083000
1420,1,118278000
1423,5,472977000
1426,1,122790000
1427,1,14510000
1428,7,779760000
1429,1,17010000
1433,3,111268000
1434,1,51080000
1436,1,356337000
144,1,437949000
1440,1,87100000
1441,4,95921000
1444,1,129464000
1448,1,70414000
145,1,76406000
1450,1,22430000
1451,3,79004000
1453,9,1334450000
1454,2,188530000
1455,3,214784000
1459,3,223830000
1460,1,185238000
1461,7,1314446000
1462,6,636435000
1463,1,65830000
1469,1,67550000
1470,7,786018000
1472,9,753566000
1473,1,17298000
1474,4,579430000
1475,1,70814000
1476,1,12670000
148,8,885776000
1481,8,679664000
1482,3,778251000
1483,5,861062000
1484,7,542373000
1486,7,1385531000
1487,8,1313713000
1489,12,491792000
1490,3,51148000
1491,7,497157000
1493,1,25290000
1494,1,28400000
1495,6,429501000
1497,1,53730000
1499,6,940705000
15,2,70086000
150,1,37190000
1500,4,104745000
151,6,1158082000
153,7,382294000
154,4,603170000
155,1,61124000
156,1,14204000
157,1,27423000
158,2,168070000
159,3,200994000
162,1,17490000
163,2,34522000
164,1,20450000
166,10,1588982000
167,8,587453000
169,6,306880000
17,5,326111000
170,9,1524155000
172,1,6633000
176,1,19020000
178,2,140330000
179,3,307410000
18,2,10429000
184,9,934675000
185,1,41998000
186,1,69710000
187,3,280090000
188,10,815957000
189,4,442198000
19,2,63206000
191,1,7370000
192,6,902737000
193,2,73075000
194,11,1087815000
196,2,62280000
197,5,900566000
198,9,1395484000
2,2,140300000
20,2,105259000
200,1,141498000
202,3,52416000
204,11,791290000
206,8,846857000
21,4,479464000
210,3,103232000
211,1,88389000
212,1,72956000
213,10,1140694000
214,1,107870000
216,2,134695000
219,2,235810000
22,1,22729000
220,4,581570000
221,1,242750000
223,1,13370000
225,6,1031513000
226,4,887310000
228,8,545136000
229,4,262824000
23,2,75480000
231,2,201580000
232,1,165510000
233,10,846923000
236,4,755454000
238,1,9146000
24,10,640319000
240,6,429481000
241,1,11360000
244,5,968348000
245,5,691638000
246,1,3918000
247,1,2240000
248,1,369330000
249,6,778383000
25,3,252352000
251,9,883798000
252,6,523231000
253,1,15498000
254,7,643914000
257,5,549012000
258,8,815223000
259,1,162673000
26,1,36770000
261,5,342692000
264,2,58120000
265,4,246538000
267,1,5652000
268,1,10270000
269,9,1175197000
271,11,1034507000
272,3,282864000
275,9,1159796000
278,11,679065000
279,8,559673000
281,1,2088000
285,1,125595000
286,1,49527000
289,1,98510000
29,1,42060000
290,1,115240000
292,4,818106000
293,9,712255000
297,1,90750000
299,8,357997000
3,5,142942000
30,1,151038000
300,1,114910000
301,7,504195000
302,1,48680000
303,5,371665000
304,1,22842000
308,1,43690000
31,1,29030000
311,3,692910000
312,5,619477000
313,9,734321000
314,2,14544000
316,1,12792000
317,1,45910000
318,8,994693000
319,2,45216000
323,1,13642000
324,11,826699000
325,3,175214000
326,3,245900000
327,1,149990000
328,1,64764000
329,3,484370000
33,6,921616000
332,9,1310296000
334,12,1892524000
336,2,224160000
339,6,766779000
34,1,16220000
340,2,187519000
341,1,11130000
342,2,550980000
343,1,27603000
344,1,205440000
345,1,25570000
349,5,483052000
350,4,300603000
351,2,119610000
352,1,127359000
353,1,158508000
355,1,21437000
357,12,1654723000
358,9,1284272000
359,1,24098000
360,5,602442000
361,8,948456000
363,11,1130344000
365,2,56366000
366,5,217013000
368,2,352830000
369,8,988715000
37,6,303026000
372,8,676205000
373,1,153690000
374,7,1008829000
375,1,29330000
376,6,330239000
377,1,235290000
379,2,250049000
38,1,264610000
380,6,434729000
381,2,57720000
383,1,226882000
384,5,727867000
385,8,869174000
386,10,1096594000
387,1,20034000
388,2,258748000
389,1,46690000
39,2,258540000
394,7,1376080000
396,6,646970000
397,4,408142000
398,7,754933000
400,7,389166000
403,4,316466000
404,7,896832000
406,6,137621000
407,5,1403158000
408,8,1017088000
409,2,250638000
41,1,160300000
410,2,123097000
411,10,1588596000
413,6,933550000
414,1,56025000
415,6,498804000
418,1,97080000
420,1,86003000
421,1,7480000
422,2,70559000
423,1,68229000
426,2,159940000
427,1,66390000
429,11,1036865000
430,2,212670000
431,2,132496000
434,9,621097000
435,11,1020285000
436,2,276467000
437,2,17053000
44,1,368670000
440,1,28076000
441,1,135180000
442,1,155770000
443,7,857184000
445,1,50541000
446,1,133533000
447,9,1332521000
448,1,153660000
450,8,846126000
451,11,1017837000
453,1,147450000
454,1,46400000
455,7,383804000
456,1,28470000
457,1,138450000
459,3,61367000
460,4,532059000
461,2,519580000
463,1,213230000
465,11,869126000
467,1,129357000
469,6,1197882000
47,3,68479000
470,1,11360000
471,2,19430000
472,3,118738000
473,1,38034000
474,3,397564000
475,1,24050000
477,3,891858000
478,3,223578000
479,8,638652000
48,1,174090000
480,1,82764000
486,11,1095921000
490,1,54440000
491,3,473751000
492,11,2123642000
493,4,327158000
494,1,32380000
496,1,11380000
497,1,201671000
499,2,94865000
5,6,795479000
50,1,18680000
500,1,14440000
501,1,345584000
506,1,40620000
507,7,486572000
508,1,172720000
509,1,169720000
511,10,1239751000
512,1,67838000
514,1,342740000
517,2,96190000
518,1,36670000
519,1,128050000
52,11,1313841000
520,5,463799000
521,1,51273000
522,6,1509894000
523,6,853093000
524,1,253940000
525,2,163290000
527,2,296990000
528,9,775696000
529,7,457940000
530,13,1455359000
531,7,476536000
532,7,556449000
533,6,170759000
534,1,308830000
535,1,16210000
536,7,1405280000
537,1,106510000
538,8,811895000
539,1,22761000
54,1,293910000
541,2,281425000
542,11,747412000
545,1,299950000
547,6,794837000
55,2,44009000
552,9,309558000
554,3,241907000
559,2,140830000
560,1,74871000
561,2,154188000
562,3,489678000
563,1,28026000
564,2,219330000
565,1,130990000
566,4,422027000
567,5,515232000
568,1,57150000
57,4,483754000
571,2,160450000
572,6,225365000
573,2,407118000
574,4,864404000
576,8,936929000
579,3,323566000
580,7,1340251000
582,2,355406000
584,7,862436000
585,1,30760000
587,2,43222000
589,4,315250000
591,10,1301400000
593,1,64300000
594,3,164239000
595,4,235097000
596,4,712088000
598,3,282406000
601,2,142930000
602,2,250400000
603,3,324990000
604,5,150840000
605,1,13266000
607,4,665618000
608,11,926612000
609,1,53896000
610,6,174804000
611,2,246601000
612,9,498355000
613,4,223496000
614,1,93636000
616,4,350100000
617,9,1093816000
618,2,121811000
619,1,7281000
621,1,211460000
622,3,285600000
623,2,376550000
624,10,1083736000
625,6,415940000
626,1,147420000
627,1,179050000
628,5,479029000
629,1,75660000
631,9,1786969000
632,5,137560000
633,1,2799000
634,1,11100000
638,1,90110000
639,1,114750000
640,2,191466000
641,1,16137000
644,1,123410000
646,8,330314000
647,1,69444000
648,1,151820000
65,1,147570000
651,6,1006436000
652,6,247414000
654,10,781738000
656,10,919805000
658,6,631901000
659,1,68920000
660,8,706201000
663,1,27320000
664,1,53800000
665,3,80457000
666,5,675252000
667,2,191599000
671,1,188010000
672,1,10224000
673,9,1125475000
675,7,1009700000
677,1,10760000
681,9,736126000
682,4,519129000
685,6,571123000
686,6,365098000
687,1,306604000
688,7,878363000
689,8,600215000
69,1,25950000
690,5,522439000
692,7,543974000
693,5,684205000
694,1,80150000
695,11,1225888000
698,2,260105000
699,6,181478000
7,6,747703000
700,1,64650000
701,5,589491000
702,5,420871000
703,6,226097000
704,4,571123000
707,6,586300000
708,1,37190000
71,1,100920000
711,2,60830000
713,6,391869000
714,2,222750000
715,5,268059000
716,1,86394000
722,6,902070000
723,1,79262000
724,1,39340000
725,1,337850000
727,12,1019625000
729,1,285800000
73,1,245268000
730,1,87380000
732,5,651630000
733,3,147167000
738,2,127878000
739,4,212622000
740,1,87642000
741,8,522578000
743,2,214350000
745,1,149550000
746,12,986701000
75,8,861448000
750,5,499458000
751,9,499960000
752,1,42768000
753,1,99288000
754,1,45203000
755,4,444637000
756,1,11646000
757,5,535371000
758,6,528385000
759,1,37840000
76,5,574203000
760,5,337816000
761,1,97220000
763,2,223383000
764,8,509278000
765,3,249236000
766,3,725823000
767,1,5440000
77,1,27603000
770,10,486320000
772,1,177579000
775,1,31725000
777,12,1346013000
78,3,159430000
780,10,994123000
782,1,122652000
785,1,150360000
786,1,103122000
787,1,549992000
788,5,330175000
789,6,784160000
79,1,13390000
791,9,964317000
792,2,214885000
793,6,332981000
795,6,536810000
796,11,1974066000
797,6,736856000
798,1,82458000
8,1,9656000
800,2,217864000
803,1,77160000
806,1,19650000
807,1,179690000
808,3,320142000
809,10,994640000
81,5,447707000
812,7,1475566000
813,9,758343000
819,10,1504506000
82,10,522712000
820,6,1220691000
822,2,165245000
823,3,338461000
824,1,14980000
825,1,35490000
826,8,1145131000
827,1,4607000
828,8,1342064000
829,1,89450000
832,12,1262844000
833,3,615819000
834,1,27520000
837,6,456760000
838,1,1972000
841,1,37190000
844,1,31612000
845,1,17766000
846,4,417410000
847,8,1124606000
848,2,104332000
849,1,96480000
85,6,165634000
851,2,217606000
854,1,609510000
856,9,943705000
857,1,140836000
858,1,63180000
86,1,15400000
860,2,284393000
863,4,368169000
864,7,1174925000
865,1,244980000
866,2,162970000
867,7,563999000
868,6,1293460000
87,12,1448284000
870,2,243836000
871,3,283609000
873,12,1092028000
874,10,835470000
876,1,406630000
878,6,541225000
879,7,298110000
88,5,305591000
880,1,180650000
881,1,35235000
