"order_id","detail_id","product_id","quantity","price"
1,1,104,1,19370000
2,3,120,1,30670000
3,8,116,2,23690000
4,10,140,1,30000000
5,11,3,1,13010000
6,13,132,2,24050000
7,14,7,1,4610000
8,19,9,1,11130000
9,20,2,1,11100000
10,21,48,1,4640000
11,23,128,1,37190000
12,24,149,2,148370000
13,25,53,1,27340000
14,26,111,2,13840000
15,29,50,4,6220000
16,33,48,1,4640000
17,36,133,1,10760000
18,37,181,1,64300000
19,42,182,1,163380000
20,43,44,1,14550000
21,45,8,1,7370000
22,48,125,1,23480000
23,52,153,1,174090000
24,55,7,1,4610000
25,57,16,1,11670000
26,58,138,1,11360000
27,59,8,1,7370000
28,60,109,1,61850000
29,63,45,1,2020000
30,64,128,1,37190000
31,66,119,1,13370000
32,68,105,1,41550000
33,70,160,1,134730000
34,72,82,1,9300000
35,73,38,1,13600000
36,76,125,1,23480000
37,77,136,1,16220000
38,79,9,1,11130000
39,84,5,1,5670000
40,85,152,1,16560000
41,90,123,1,10250000
42,92,8,1,7370000
43,94,131,1,10270000
44,95,41,1,10840000
45,96,28,1,5440000
46,99,149,1,148370000
47,101,76,1,15640000
48,106,5,1,5670000
49,109,15,2,2690000
50,110,153,1,174090000
51,111,6,1,8090000
52,114,5,1,5670000
53,119,111,2,13840000
54,122,52,1,22350000
55,124,115,1,12940000
56,126,2,2,11100000
